LSU_rRNA_eukarya 1-3401 (+1)	=> 8855-11955 (-1)

MIR854 1-221 (+1)	=> 13650672-13650892 (+1)
Percent identity: 
Cigar string: 221M
ungapped:
MIR854 1-221 (+1)	=> 13650672-13650892 (+1)

5S_rRNA 1-119 (+1)	=> 13673802-13673920 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13673802-13673920 (+1)

5S_rRNA 1-119 (+1)	=> 13681862-13681980 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13681862-13681980 (+1)

5S_rRNA 1-119 (+1)	=> 13682368-13682486 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13682368-13682486 (+1)

5S_rRNA 1-119 (+1)	=> 13682872-13682990 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13682872-13682990 (+1)

5S_rRNA 1-119 (+1)	=> 13683376-13683494 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13683376-13683494 (+1)

5S_rRNA 1-119 (+1)	=> 13683858-13683976 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13683858-13683976 (+1)

5S_rRNA 1-119 (+1)	=> 13684418-13684536 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13684418-13684536 (+1)

5S_rRNA 1-119 (+1)	=> 13684922-13685040 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13684922-13685040 (+1)

5S_rRNA 1-119 (+1)	=> 13685426-13685544 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13685426-13685544 (+1)

5S_rRNA 1-119 (+1)	=> 13685806-13685924 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13685806-13685924 (-1)

5S_rRNA 1-119 (+1)	=> 13686292-13686410 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13686292-13686410 (-1)

5S_rRNA 1-119 (+1)	=> 13686798-13686916 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13686798-13686916 (-1)

5S_rRNA 1-119 (+1)	=> 13687284-13687402 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13687284-13687402 (-1)

5S_rRNA 1-119 (+1)	=> 13687828-13687946 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13687828-13687946 (-1)

5S_rRNA 1-119 (+1)	=> 13688334-13688452 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13688334-13688452 (-1)

5S_rRNA 1-119 (+1)	=> 13688840-13688958 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13688840-13688958 (-1)

5S_rRNA 1-119 (+1)	=> 13689326-13689444 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13689326-13689444 (-1)

5S_rRNA 1-119 (+1)	=> 13689832-13689950 (-1)
Percent identity: 
Cigar string: 101MI7MD10M
ungapped:
5S_rRNA 1-101 (+1)	=> 13689850-13689950 (-1)
5S_rRNA 102-108 (+1)	=> 13689842-13689848 (-1)
5S_rRNA 110-119 (+1)	=> 13689832-13689841 (-1)

5S_rRNA 1-119 (+1)	=> 13690318-13690436 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13690318-13690436 (-1)

5S_rRNA 1-119 (+1)	=> 13690824-13690942 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13690824-13690942 (-1)

5S_rRNA 1-119 (+1)	=> 13691311-13691429 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13691311-13691429 (-1)

5S_rRNA 1-119 (+1)	=> 13691798-13691916 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13691798-13691916 (-1)

5S_rRNA 1-119 (+1)	=> 13692305-13692423 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13692305-13692423 (-1)

5S_rRNA 1-119 (+1)	=> 13692791-13692909 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13692791-13692909 (-1)

5S_rRNA 1-119 (+1)	=> 13693102-13693220 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13693102-13693220 (-1)

5S_rRNA 1-119 (+1)	=> 13693607-13693725 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13693607-13693725 (-1)

5S_rRNA 1-119 (+1)	=> 13694093-13694211 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13694093-13694211 (-1)

5S_rRNA 1-119 (+1)	=> 13694599-13694717 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13694599-13694717 (-1)

5S_rRNA 1-119 (+1)	=> 13695085-13695203 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13695085-13695203 (-1)

5S_rRNA 1-119 (+1)	=> 13695592-13695710 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13695592-13695710 (-1)

5S_rRNA 1-119 (+1)	=> 13696098-13696216 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13696098-13696216 (-1)

5S_rRNA 1-119 (+1)	=> 13696584-13696702 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13696584-13696702 (-1)

5S_rRNA 1-119 (+1)	=> 13697175-13697293 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13697175-13697293 (-1)

5S_rRNA 1-119 (+1)	=> 13697681-13697799 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13697681-13697799 (-1)

5S_rRNA 1-119 (+1)	=> 13698194-13698312 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13698194-13698312 (-1)

5S_rRNA 1-119 (+1)	=> 13698699-13698817 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13698699-13698817 (-1)

5S_rRNA 1-119 (+1)	=> 13699205-13699323 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13699205-13699323 (-1)

5S_rRNA 1-119 (+1)	=> 13699717-13699835 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13699717-13699835 (-1)

5S_rRNA 1-119 (+1)	=> 13700222-13700340 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13700222-13700340 (-1)

5S_rRNA 1-119 (+1)	=> 13700728-13700846 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13700728-13700846 (-1)

5S_rRNA 1-119 (+1)	=> 13701235-13701353 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13701235-13701353 (-1)

5S_rRNA 1-119 (+1)	=> 13701615-13701733 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13701615-13701733 (-1)

5S_rRNA 1-119 (+1)	=> 13702121-13702239 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13702121-13702239 (-1)

5S_rRNA 1-119 (+1)	=> 13702627-13702745 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13702627-13702745 (-1)

5S_rRNA 1-119 (+1)	=> 13703129-13703247 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13703129-13703247 (-1)

5S_rRNA 1-119 (+1)	=> 13703634-13703752 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13703634-13703752 (-1)

5S_rRNA 1-119 (+1)	=> 13704137-13704255 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13704137-13704255 (-1)

5S_rRNA 1-119 (+1)	=> 13704642-13704760 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13704642-13704760 (-1)

5S_rRNA 1-119 (+1)	=> 13704919-13705037 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13704919-13705037 (-1)

5S_rRNA 1-119 (+1)	=> 13705427-13705545 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13705427-13705545 (-1)

5S_rRNA 1-119 (+1)	=> 13705933-13706051 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13705933-13706051 (-1)

5S_rRNA 1-119 (+1)	=> 13706436-13706554 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13706436-13706554 (-1)

5S_rRNA 1-119 (+1)	=> 13706941-13707059 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13706941-13707059 (-1)

5S_rRNA 1-119 (+1)	=> 13707446-13707564 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13707446-13707564 (-1)

5S_rRNA 1-119 (+1)	=> 13707950-13708068 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13707950-13708068 (-1)

5S_rRNA 1-119 (+1)	=> 13708458-13708576 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13708458-13708576 (-1)

5S_rRNA 1-119 (+1)	=> 13708964-13709082 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13708964-13709082 (-1)

5S_rRNA 1-119 (+1)	=> 13709468-13709586 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13709468-13709586 (-1)

5S_rRNA 1-119 (+1)	=> 13709971-13710089 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13709971-13710089 (-1)

5S_rRNA 1-119 (+1)	=> 13710475-13710593 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13710475-13710593 (-1)

5S_rRNA 1-119 (+1)	=> 13710981-13711086 (-1)
Percent identity: 
Cigar string: 84M12D5MI17M
ungapped:
5S_rRNA 1-84 (+1)	=> 13711003-13711086 (-1)
5S_rRNA 97-101 (+1)	=> 13710998-13711002 (-1)
5S_rRNA 102-118 (+1)	=> 13710980-13710996 (-1)

5S_rRNA 1-119 (+1)	=> 13711479-13711598 (-1)
Percent identity: 
Cigar string: 101MD18M
ungapped:
5S_rRNA 1-101 (+1)	=> 13711498-13711598 (-1)
5S_rRNA 103-120 (+1)	=> 13711480-13711497 (-1)

5S_rRNA 1-119 (+1)	=> 13711987-13712105 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13711987-13712105 (-1)

5S_rRNA 1-119 (+1)	=> 13712493-13712611 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13712493-13712611 (-1)

5S_rRNA 1-119 (+1)	=> 13712995-13713113 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13712995-13713113 (-1)

5S_rRNA 1-119 (+1)	=> 13713500-13713618 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13713500-13713618 (-1)

5S_rRNA 1-119 (+1)	=> 13714005-13714123 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13714005-13714123 (-1)

5S_rRNA 1-119 (+1)	=> 13714511-13714629 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13714511-13714629 (-1)

5S_rRNA 1-119 (+1)	=> 13715021-13715140 (-1)
Percent identity: 
Cigar string: 101MD18M
ungapped:
5S_rRNA 1-101 (+1)	=> 13715040-13715140 (-1)
5S_rRNA 103-120 (+1)	=> 13715022-13715039 (-1)

5S_rRNA 1-119 (+1)	=> 13715529-13715647 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13715529-13715647 (-1)

5S_rRNA 1-119 (+1)	=> 13716035-13716153 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13716035-13716153 (-1)

5S_rRNA 1-119 (+1)	=> 13716537-13716655 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13716537-13716655 (-1)

5S_rRNA 1-119 (+1)	=> 13717043-13717161 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13717043-13717161 (-1)

5S_rRNA 1-119 (+1)	=> 13717549-13717667 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13717549-13717667 (-1)

5S_rRNA 1-119 (+1)	=> 13718051-13718169 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13718051-13718169 (-1)

5S_rRNA 1-119 (+1)	=> 13718538-13718656 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13718538-13718656 (-1)

5S_rRNA 1-119 (+1)	=> 13719044-13719162 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13719044-13719162 (-1)

5S_rRNA 1-119 (+1)	=> 13719550-13719668 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13719550-13719668 (-1)

5S_rRNA 1-119 (+1)	=> 13720052-13720170 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13720052-13720170 (-1)

5S_rRNA 1-119 (+1)	=> 13720558-13720676 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13720558-13720676 (-1)

5S_rRNA 1-119 (+1)	=> 13721062-13721180 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13721062-13721180 (-1)

5S_rRNA 1-119 (+1)	=> 13721571-13721690 (-1)
Percent identity: 
Cigar string: 101MD18M
ungapped:
5S_rRNA 1-101 (+1)	=> 13721590-13721690 (-1)
5S_rRNA 103-120 (+1)	=> 13721572-13721589 (-1)

5S_rRNA 1-119 (+1)	=> 13722078-13722196 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13722078-13722196 (-1)

5S_rRNA 1-119 (+1)	=> 13722583-13722701 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13722583-13722701 (-1)

5S_rRNA 1-119 (+1)	=> 13723089-13723207 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13723089-13723207 (-1)

5S_rRNA 1-119 (+1)	=> 13723599-13723718 (-1)
Percent identity: 
Cigar string: 101MD18M
ungapped:
5S_rRNA 1-101 (+1)	=> 13723618-13723718 (-1)
5S_rRNA 103-120 (+1)	=> 13723600-13723617 (-1)

5S_rRNA 1-119 (+1)	=> 13724107-13724225 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13724107-13724225 (-1)

5S_rRNA 1-119 (+1)	=> 13724613-13724731 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13724613-13724731 (-1)

5S_rRNA 1-119 (+1)	=> 13725348-13725466 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13725348-13725466 (-1)

5S_rRNA 1-119 (+1)	=> 13725853-13725971 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13725853-13725971 (-1)

5S_rRNA 1-119 (+1)	=> 13726351-13726469 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13726351-13726469 (-1)

5S_rRNA 1-119 (+1)	=> 13726837-13726955 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13726837-13726955 (-1)

5S_rRNA 1-119 (+1)	=> 13727343-13727461 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13727343-13727461 (-1)

5S_rRNA 1-119 (+1)	=> 13727849-13727967 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13727849-13727967 (-1)

5S_rRNA 1-119 (+1)	=> 13728335-13728453 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13728335-13728453 (-1)

5S_rRNA 1-119 (+1)	=> 13728841-13728959 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13728841-13728959 (-1)

5S_rRNA 1-119 (+1)	=> 13729347-13729465 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13729347-13729465 (-1)

5S_rRNA 1-119 (+1)	=> 13729853-13729971 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13729853-13729971 (-1)

5S_rRNA 1-119 (+1)	=> 13730339-13730457 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13730339-13730457 (-1)

5S_rRNA 1-119 (+1)	=> 13730846-13730964 (-1)
Percent identity: 
Cigar string: 102MI6MD10M
ungapped:
5S_rRNA 1-102 (+1)	=> 13730863-13730964 (-1)
5S_rRNA 103-108 (+1)	=> 13730856-13730861 (-1)
5S_rRNA 110-119 (+1)	=> 13730846-13730855 (-1)

5S_rRNA 1-119 (+1)	=> 13731333-13731451 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13731333-13731451 (-1)

5S_rRNA 1-119 (+1)	=> 13731839-13731957 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13731839-13731957 (-1)

5S_rRNA 1-119 (+1)	=> 13732345-13732463 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13732345-13732463 (-1)

5S_rRNA 1-119 (+1)	=> 13732831-13732949 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13732831-13732949 (-1)

5S_rRNA 1-119 (+1)	=> 13733337-13733455 (-1)
Percent identity: 
Cigar string: 102MI6MD10M
ungapped:
5S_rRNA 1-102 (+1)	=> 13733354-13733455 (-1)
5S_rRNA 103-108 (+1)	=> 13733347-13733352 (-1)
5S_rRNA 110-119 (+1)	=> 13733337-13733346 (-1)

5S_rRNA 1-119 (+1)	=> 13733824-13733942 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13733824-13733942 (-1)

5S_rRNA 1-119 (+1)	=> 13734331-13734449 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13734331-13734449 (-1)

5S_rRNA 1-119 (+1)	=> 13734837-13734955 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13734837-13734955 (-1)

5S_rRNA 1-119 (+1)	=> 13735323-13735441 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13735323-13735441 (-1)

5S_rRNA 1-119 (+1)	=> 13735925-13736043 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13735925-13736043 (-1)

5S_rRNA 1-119 (+1)	=> 13736407-13736525 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13736407-13736525 (-1)

5S_rRNA 1-119 (+1)	=> 13736911-13737029 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13736911-13737029 (-1)

5S_rRNA 1-119 (+1)	=> 13737415-13737533 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13737415-13737533 (-1)

5S_rRNA 1-119 (+1)	=> 13737921-13738039 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13737921-13738039 (-1)

5S_rRNA 1-119 (+1)	=> 13744665-13744783 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13744665-13744783 (-1)

5S_rRNA 1-119 (+1)	=> 13745172-13745290 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13745172-13745290 (-1)

5S_rRNA 1-119 (+1)	=> 13745660-13745778 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13745660-13745778 (-1)

5S_rRNA 1-119 (+1)	=> 13746169-13746287 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13746169-13746287 (-1)

5S_rRNA 1-119 (+1)	=> 13746677-13746795 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13746677-13746795 (-1)

5S_rRNA 1-119 (+1)	=> 13747161-13747279 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13747161-13747279 (-1)

5S_rRNA 1-119 (+1)	=> 13747666-13747784 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13747666-13747784 (-1)

5S_rRNA 1-119 (+1)	=> 13748175-13748293 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13748175-13748293 (-1)

5S_rRNA 1-119 (+1)	=> 13748661-13748779 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13748661-13748779 (-1)

5S_rRNA 1-119 (+1)	=> 13749146-13749264 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13749146-13749264 (-1)

5S_rRNA 1-119 (+1)	=> 13750164-13750282 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13750164-13750282 (-1)

5S_rRNA 1-119 (+1)	=> 13750668-13750786 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13750668-13750786 (-1)

5S_rRNA 1-119 (+1)	=> 13751176-13751294 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13751176-13751294 (-1)

5S_rRNA 1-119 (+1)	=> 13751682-13751800 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13751682-13751800 (-1)

5S_rRNA 1-119 (+1)	=> 13752427-13752545 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13752427-13752545 (-1)

5S_rRNA 1-119 (+1)	=> 13752933-13753051 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13752933-13753051 (-1)

5S_rRNA 1-119 (+1)	=> 13753419-13753537 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13753419-13753537 (-1)

5S_rRNA 1-119 (+1)	=> 13753926-13754044 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13753926-13754044 (-1)

5S_rRNA 1-119 (+1)	=> 13754414-13754532 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13754414-13754532 (-1)

5S_rRNA 1-119 (+1)	=> 13754916-13755034 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13754916-13755034 (-1)

5S_rRNA 1-119 (+1)	=> 13755422-13755540 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13755422-13755540 (-1)

5S_rRNA 1-119 (+1)	=> 13755926-13756044 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13755926-13756044 (-1)

5S_rRNA 1-119 (+1)	=> 13756430-13756548 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13756430-13756548 (-1)

5S_rRNA 1-119 (+1)	=> 13756990-13757108 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13756990-13757108 (-1)

5S_rRNA 1-119 (+1)	=> 13757932-13758050 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13757932-13758050 (-1)

5S_rRNA 1-119 (+1)	=> 13758436-13758554 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13758436-13758554 (-1)

5S_rRNA 1-119 (+1)	=> 13758922-13759040 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13758922-13759040 (-1)

5S_rRNA 1-119 (+1)	=> 13759407-13759525 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13759407-13759525 (-1)

5S_rRNA 1-119 (+1)	=> 13759913-13760030 (-1)
Percent identity: 
Cigar string: 66MI52M
ungapped:
5S_rRNA 1-66 (+1)	=> 13759965-13760030 (-1)
5S_rRNA 67-118 (+1)	=> 13759912-13759963 (-1)

5S_rRNA 1-119 (+1)	=> 13760398-13760516 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13760398-13760516 (-1)

5S_rRNA 1-119 (+1)	=> 13760902-13761020 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13760902-13761020 (-1)

5S_rRNA 1-119 (+1)	=> 13761388-13761506 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13761388-13761506 (-1)

5S_rRNA 1-119 (+1)	=> 13761892-13762010 (-1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 13761892-13762010 (-1)

